[INFO ] [2022-02-12 16:33:13,356] Pre-condition: Open browser chrome and navigate to https://demo.nopcommerce.com
[INFO ] [2022-02-12 16:33:18,302] Test Case 1: Register with empty data
[INFO ] [2022-02-12 16:33:18,303] Step 1: Click Register Link
[INFO ] [2022-02-12 16:33:18,788] Step 2: Click Register Button
[INFO ] [2022-02-12 16:33:18,842] Step 3: Verify all fields and error
[INFO ] [2022-02-12 16:33:19,019] Test Case 2: Register with invalid email
[INFO ] [2022-02-12 16:33:19,019] Step 1: Click Register Link
[INFO ] [2022-02-12 16:33:19,426] Step 2: Click input invalid email format
[INFO ] [2022-02-12 16:33:19,493] Step 3: Click Register Button
[INFO ] [2022-02-12 16:33:19,532] Step 4: Verify email field
[INFO ] [2022-02-12 16:33:19,559] Post-condition: Close browser
[INFO ] [2022-02-12 16:33:20,208] Pre-condition: Open browser firefox and navigate to https://demo.nopcommerce.com
[INFO ] [2022-02-12 16:33:24,809] Test Case 1: Register with empty data
[INFO ] [2022-02-12 16:33:24,810] Step 1: Click Register Link
[INFO ] [2022-02-12 16:33:25,255] Step 2: Click Register Button
[INFO ] [2022-02-12 16:33:25,501] Step 3: Verify all fields and error
[INFO ] [2022-02-12 16:33:25,596] Test Case 2: Register with invalid email
[INFO ] [2022-02-12 16:33:25,596] Step 1: Click Register Link
[INFO ] [2022-02-12 16:33:25,962] Step 2: Click input invalid email format
[INFO ] [2022-02-12 16:33:25,997] Step 3: Click Register Button
[INFO ] [2022-02-12 16:33:26,722] Step 4: Verify email field
[INFO ] [2022-02-12 16:33:26,741] Post-condition: Close browser
[INFO ] [2022-02-12 16:33:27,195] Pre-condition: Open browser edge and navigate to https://demo.nopcommerce.com
[INFO ] [2022-02-12 16:33:33,472] Pre-condition: Open browser coc coc and navigate to https://demo.nopcommerce.com
[INFO ] [2022-02-12 16:38:34,372] Test Case 1: Register with empty data
[INFO ] [2022-02-12 16:38:34,373] Step 1: Click Register Link
[INFO ] [2022-02-12 16:38:34,856] Step 2: Click Register Button
[INFO ] [2022-02-12 16:38:35,103] Step 3: Verify all fields and error
[INFO ] [2022-02-12 16:38:35,211] Test Case 2: Register with invalid email
[INFO ] [2022-02-12 16:38:35,211] Step 1: Click Register Link
[INFO ] [2022-02-12 16:38:35,591] Step 2: Click input invalid email format
[INFO ] [2022-02-12 16:38:35,628] Step 3: Click Register Button
[INFO ] [2022-02-12 16:38:36,353] Step 4: Verify email field
[INFO ] [2022-02-12 16:38:36,396] Post-condition: Close browser
[INFO ] [2022-02-12 16:49:50,504] Test Case 1: Register with empty data
[INFO ] [2022-02-12 16:49:50,505] Step 1: Click Register Link
[INFO ] [2022-02-12 16:49:51,007] Step 2: Click Register Button
[INFO ] [2022-02-12 16:49:51,058] Step 3: Verify all fields and error
[INFO ] [2022-02-12 16:49:51,191] Test Case 2: Register with invalid email
[INFO ] [2022-02-12 16:49:51,191] Step 1: Click Register Link
[INFO ] [2022-02-12 16:49:51,589] Step 2: Click input invalid email format
[INFO ] [2022-02-12 16:49:51,648] Step 3: Click Register Button
[INFO ] [2022-02-12 16:49:51,687] Step 4: Verify email field
[INFO ] [2022-02-12 16:49:51,712] Post-condition: Close browser
